UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
1901,L01901,L,301.9,313.8,1635,33.0,50,0,0,0,0,0,0
1902,L01902,L,301.0,311.7,1442,43.9,28,0,0,0,0,0,0
1903,M01903,M,304.6,315.2,1458,33.1,29,0,0,0,0,0,0
1904,L01904,L,298.0,307.9,1542,39.8,157,0,0,0,0,0,0
1905,M01905,M,301.6,312.5,1626,37.2,50,0,0,0,0,0,0
1906,L01906,L,297.4,307.1,1330,45.1,70,1,0,1,0,0,0
1907,H01907,H,300.3,310.6,1417,38.4,104,0,0,0,0,0,0
1908,L01908,L,302.0,311.0,1513,45.9,122,0,0,0,0,0,0
1909,L01909,L,295.9,306.9,1342,37.8,21,1,0,1,0,0,0
1910,L01910,L,299.6,309.9,1504,43.5,250,1,1,0,0,0,0
1911,L01911,L,298.9,310.9,1396,37.7,35,0,0,0,0,0,0
1912,M01912,M,298.6,311.0,1267,45.1,250,1,1,1,0,0,0
1913,H01913,H,300.8,311.5,1424,35.7,90,0,0,0,0,0,0
1914,L01914,L,302.2,312.3,1520,39.7,50,0,0,0,0,0,0
1915,L01915,L,299.7,308.8,1526,46.4,139,0,0,0,0,0,0
1916,M01916,M,300.4,311.3,1525,40.3,250,1,1,0,0,0,0
1917,M01917,M,300.2,310.4,1412,46.8,78,0,0,0,0,0,0
1918,L01918,L,300.0,310.5,1729,37.6,37,0,0,0,0,0,0
1919,L01919,L,297.8,309.6,1547,37.0,152,0,0,0,0,0,0
1920,L01920,L,302.2,311.4,1679,39.1,76,0,0,0,0,0,0
1921,M01921,M,300.6,309.7,1332,44.8,87,1,0,1,0,0,0
1922,L01922,L,300.8,310.6,1467,30.8,40,0,0,0,0,0,0
1923,M01923,M,298.4,309.2,1569,41.9,37,0,0,0,0,0,0
1924,L01924,L,299.1,309.6,1527,35.0,112,0,0,0,0,0,0
1925,M01925,M,299.6,308.8,1393,35.1,74,0,0,0,0,0,0
1926,L01926,L,296.9,307.7,1366,44.0,243,1,1,1,0,0,0
1927,L01927,L,296.6,305.4,1623,45.5,250,1,1,0,0,0,0
1928,L01928,L,298.8,308.0,1615,39.9,36,0,0,0,0,0,0
1929,M01929,M,301.0,310.9,1524,33.0,54,0,0,0,0,0,0
1930,L01930,L,298.7,308.1,1500,36.6,78,0,0,0,0,0,0
1931,L01931,L,298.0,308.9,1439,38.5,107,0,0,0,0,0,0
1932,L01932,L,298.4,308.7,1545,40.5,62,0,0,0,0,0,0
1933,L01933,L,299.1,310.9,1418,40.5,22,0,0,0,0,0,0
1934,M01934,M,299.3,309.0,1425,43.2,99,0,0,0,0,0,0
1935,M01935,M,304.3,314.2,1626,43.7,100,0,0,0,0,0,0
1936,M01936,M,302.1,313.3,1315,43.6,131,1,0,1,0,0,0
1937,L01937,L,302.0,312.0,1618,43.3,250,1,1,0,0,0,0
1938,M01938,M,302.3,313.8,1649,37.2,100,0,0,0,0,0,0
1939,L01939,L,298.0,308.5,1632,55.2,209,1,1,0,1,0,0
1940,L01940,L,297.6,305.2,1590,41.9,250,1,1,0,0,0,0
1941,L01941,L,297.8,309.0,1504,43.4,78,0,0,0,0,0,0
1942,L01942,L,302.7,313.6,1485,48.9,79,0,0,0,0,0,0
1943,M01943,M,298.9,309.9,1275,42.7,57,1,0,1,0,0,0
1944,M01944,M,297.5,305.6,1504,36.7,157,0,0,0,0,0,0
1945,M01945,M,299.1,308.5,1460,46.9,250,1,1,0,0,0,0
1946,L01946,L,299.5,308.9,1480,47.0,93,0,0,0,0,0,0
1947,L01947,L,300.5,309.7,1548,40.3,119,0,0,0,0,0,0
1948,L01948,L,300.5,312.2,1556,48.2,111,0,0,0,0,0,0
1949,L01949,L,298.3,308.3,1486,39.7,175,0,0,0,0,0,0
1950,L01950,L,301.4,311.3,1711,42.5,250,1,1,0,0,0,0
1951,L01951,L,298.7,309.3,1623,46.3,250,1,1,0,0,0,0
1952,L01952,L,299.7,310.3,1640,39.1,103,0,0,0,0,0,0
1953,L01953,L,301.4,308.0,1540,41.9,62,0,0,0,0,0,0
1954,M01954,M,298.7,308.1,1551,44.6,92,0,0,0,0,0,0
1955,H01955,H,298.9,307.4,1360,39.6,51,0,0,0,0,0,0
1956,H01956,H,301.2,311.6,1517,35.8,95,0,0,0,0,0,0
1957,M01957,M,298.3,308.0,1480,46.9,47,0,0,0,0,0,0
1958,L01958,L,299.2,309.2,1448,42.1,60,0,0,0,0,0,0
1959,M01959,M,301.1,309.0,1498,37.5,93,0,0,0,0,0,0
1960,M01960,M,304.1,313.8,1471,40.8,48,0,0,0,0,0,0
1961,L01961,L,301.2,312.3,1782,39.7,250,1,1,0,0,0,0
1962,L01962,L,300.9,312.4,1594,31.2,168,0,0,0,0,0,0
1963,M01963,M,301.1,311.8,1658,42.0,54,0,0,0,0,0,0
1964,L01964,L,297.9,306.5,1663,40.4,160,0,0,0,0,0,0
1965,L01965,L,300.2,311.5,1554,47.7,250,1,1,0,0,0,0
1966,L01966,L,299.9,310.7,1506,38.8,44,0,0,0,0,0,0
1967,L01967,L,300.6,310.5,1376,48.1,59,1,0,1,0,0,0
1968,L01968,L,300.2,308.2,1463,40.1,22,0,0,0,0,0,0
1969,L01969,L,300.8,311.7,1616,39.5,143,0,0,0,0,0,0
1970,L01970,L,299.4,308.8,1520,41.2,165,0,0,0,0,0,0
1971,L01971,L,300.1,310.5,1588,49.6,250,1,1,0,1,0,0
1972,M01972,M,297.5,307.6,1297,35.8,76,1,0,1,0,0,0
1973,L01973,L,299.4,310.9,1595,41.5,113,0,0,0,0,0,0
1974,L01974,L,302.8,312.7,1660,38.6,250,1,1,0,0,0,0
1975,L01975,L,300.6,310.6,1372,41.1,101,1,0,1,0,0,0
1976,H01976,H,300.0,311.5,1487,43.0,22,0,0,0,0,0,0
1977,L01977,L,303.8,313.1,1684,43.7,61,0,0,0,0,0,0
1978,L01978,L,297.3,308.1,1718,40.5,250,1,1,0,0,0,0
1979,M01979,M,297.8,307.6,1450,46.7,220,1,1,0,0,0,0
1980,M01980,M,303.4,312.4,1578,38.0,45,0,0,0,0,0,0
1981,L01981,L,300.1,310.1,1693,37.8,201,1,1,0,0,0,0
1982,M01982,M,299.5,310.2,1540,34.6,45,0,0,0,0,0,0
1983,L01983,L,297.6,309.0,1679,48.1,250,1,1,0,1,0,0
1984,L01984,L,300.9,312.4,1546,38.6,78,0,0,0,0,0,0
1985,L01985,L,301.1,310.8,1589,37.6,48,0,0,0,0,0,0
1986,L01986,L,297.8,306.8,1488,43.2,86,0,0,0,0,0,0
1987,M01987,M,299.7,309.4,1484,45.7,101,0,0,0,0,0,0
1988,L01988,L,299.3,308.1,1593,35.6,50,0,0,0,0,0,0
1989,L01989,L,300.5,310.3,1480,46.1,185,0,0,0,0,0,0
1990,M01990,M,297.8,307.4,1478,38.7,26,0,0,0,0,0,0
1991,M01991,M,302.5,313.2,1576,46.4,177,0,0,0,0,0,0
1992,L01992,L,301.8,309.6,1755,34.7,218,1,1,0,0,0,0
1993,M01993,M,299.3,308.5,1295,45.7,158,1,0,1,0,0,0
1994,L01994,L,299.6,308.8,1748,37.7,141,0,0,0,0,0,0
1995,M01995,M,299.7,310.9,1474,34.6,113,0,0,0,0,0,0
1996,M01996,M,298.4,307.3,1596,32.0,119,0,0,0,0,0,0
1997,H01997,H,299.1,309.3,1566,35.6,62,0,0,0,0,0,0
1998,L01998,L,299.5,309.3,1706,42.9,159,0,0,0,0,0,0
1999,L01999,L,303.2,314.3,1477,30.5,38,0,0,0,0,0,0
2000,L02000,L,301.9,312.5,1527,41.4,51,0,0,0,0,0,0
2001,L02001,L,301.9,312.0,1545,40.8,147,0,0,0,0,0,0
2002,L02002,L,300.7,310.2,1514,31.4,45,0,0,0,0,0,0
2003,H02003,H,297.8,305.9,1582,35.2,49,0,0,0,0,0,0
2004,L02004,L,299.9,310.2,1542,35.6,42,0,0,0,0,0,0
2005,L02005,L,301.9,312.5,1388,41.4,250,1,1,0,0,0,0
2006,M02006,M,297.5,305.9,1437,48.0,20,0,0,0,0,0,0
2007,L02007,L,301.3,310.0,1392,46.5,122,0,0,0,0,0,0
2008,M02008,M,304.6,314.9,1477,38.4,17,0,0,0,0,0,0
2009,L02009,L,302.1,312.5,1617,34.7,20,0,0,0,0,0,0
2010,L02010,L,302.8,311.8,1485,32.4,86,0,0,0,0,0,0
2011,L02011,L,300.4,309.9,1510,38.0,250,1,1,0,0,0,0
2012,L02012,L,301.9,310.1,1523,35.3,128,0,0,0,0,0,0
2013,H02013,H,298.6,309.9,1464,40.2,50,0,0,0,0,0,0
2014,L02014,L,301.6,310.3,1602,39.0,23,0,0,0,0,0,0
2015,L02015,L,301.3,311.9,1631,36.3,25,0,0,0,0,0,0
2016,L02016,L,300.6,310.5,1776,35.0,166,0,0,0,0,0,0
2017,L02017,L,302.6,313.9,1562,35.9,150,0,0,0,0,0,0
2018,M02018,M,298.9,308.1,1574,36.7,189,0,0,0,0,0,0
2019,L02019,L,299.6,309.7,1391,48.3,250,1,1,0,0,0,0
2020,M02020,M,300.2,308.5,1462,43.0,250,1,1,0,0,0,0
2021,H02021,H,297.9,306.0,1423,43.4,72,0,0,0,0,0,0
2022,L02022,L,300.5,311.1,1448,45.6,250,1,1,0,0,0,0
2023,H02023,H,296.6,304.8,1396,45.7,224,1,1,0,0,0,0
2024,L02024,L,302.1,311.9,1539,46.7,115,0,0,0,0,0,0
2025,L02025,L,300.1,311.1,1500,42.9,156,0,0,0,0,0,0
2026,L02026,L,299.0,309.7,1810,37.9,60,0,0,0,0,0,0
2027,M02027,M,298.3,307.7,1551,36.5,125,0,0,0,0,0,0
2028,H02028,H,299.5,307.9,1650,34.4,25,0,0,0,0,0,0
2029,L02029,L,301.4,311.9,1699,42.4,77,0,0,0,0,0,0
2030,M02030,M,301.1,312.4,1436,40.1,211,1,1,0,0,0,0
2031,L02031,L,298.6,307.9,1554,32.7,84,0,0,0,0,0,0
2032,L02032,L,298.3,307.5,1507,29.5,209,1,1,0,0,0,0
2033,L02033,L,301.3,310.8,1534,50.4,211,1,1,0,1,0,0
2034,H02034,H,298.6,309.1,1352,36.5,8,1,0,1,0,0,0
2035,M02035,M,300.1,311.3,1456,37.0,151,0,0,0,0,0,0
2036,L02036,L,300.2,309.0,1586,45.3,92,0,0,0,0,0,0
2037,L02037,L,300.6,309.1,1583,33.1,71,0,0,0,0,0,0
2038,L02038,L,301.7,314.1,1575,41.9,143,0,0,0,0,0,0
2039,L02039,L,297.5,307.3,1544,48.7,95,0,0,0,0,0,0
2040,L02040,L,296.2,306.4,1636,49.2,230,1,1,0,1,0,0
2041,M02041,M,298.9,308.2,1474,38.0,129,0,0,0,0,0,0
2042,L02042,L,303.6,314.1,1689,38.0,250,1,1,0,0,0,0
2043,L02043,L,304.0,315.0,1365,39.4,132,1,0,1,0,0,0
2044,L02044,L,303.7,314.0,1616,38.8,113,0,0,0,0,0,0
2045,M02045,M,299.6,311.4,1549,46.0,250,1,1,0,0,0,0
2046,M02046,M,296.4,306.1,1433,33.7,167,0,0,0,0,0,0
2047,L02047,L,295.3,305.1,1514,43.1,112,0,0,0,0,0,0
2048,M02048,M,298.8,309.0,1546,38.6,250,1,1,0,0,0,0
2049,L02049,L,299.6,310.1,1642,45.4,167,0,0,0,0,0,0
2050,L02050,L,302.6,312.8,1375,47.8,84,1,0,1,0,0,0
2051,L02051,L,301.7,310.5,1613,36.8,68,0,0,0,0,0,0
2052,L02052,L,300.5,310.8,1504,39.4,127,0,0,0,0,0,0
2053,L02053,L,298.2,307.8,1663,42.8,153,0,0,0,0,0,0
2054,H02054,H,298.1,307.5,1266,47.3,62,1,0,1,0,0,0
2055,M02055,M,300.5,310.5,1745,25.2,101,0,0,0,0,0,0
2056,M02056,M,301.4,310.4,1411,45.3,154,0,0,0,0,0,0
2057,L02057,L,300.8,309.6,1693,46.3,79,1,0,0,1,0,0
2058,L02058,L,297.9,305.3,1543,40.8,32,0,0,0,0,0,0
2059,M02059,M,301.3,313.0,1418,45.6,35,0,0,0,0,0,0
2060,L02060,L,300.9,311.4,1577,45.6,190,0,0,0,0,0,0
2061,L02061,L,297.9,307.7,1653,39.6,77,0,0,0,0,0,0
2062,L02062,L,298.4,307.8,1395,45.1,144,0,0,0,0,0,0
2063,M02063,M,301.4,308.5,1570,39.4,49,0,0,0,0,0,0
2064,L02064,L,299.5,308.8,1549,39.3,83,0,0,0,0,0,0
2065,L02065,L,303.2,313.9,1608,35.6,156,0,0,0,0,0,0
2066,M02066,M,301.0,311.9,1501,40.9,132,0,0,0,0,0,0
2067,L02067,L,299.0,309.7,1493,49.5,139,0,0,0,0,0,0
2068,L02068,L,300.0,310.1,1439,36.1,182,0,0,0,0,0,0
2069,L02069,L,300.1,311.4,1617,41.9,38,0,0,0,0,0,0
2070,L02070,L,298.5,308.2,1617,40.4,112,0,0,0,0,0,0
2071,M02071,M,298.2,309.3,1566,46.7,63,0,0,0,0,0,0
2072,L02072,L,301.4,311.0,1593,47.4,202,1,1,0,0,0,0
2073,L02073,L,301.7,310.8,1644,33.9,72,0,0,0,0,0,0
2074,M02074,M,301.2,310.2,1641,35.7,21,0,0,0,0,0,0
2075,M02075,M,303.0,312.0,1312,39.3,20,1,0,1,0,0,0
2076,M02076,M,298.9,309.6,1266,39.9,86,1,0,1,0,0,0
2077,L02077,L,303.3,312.6,1722,35.8,168,0,0,0,0,0,0
2078,L02078,L,298.2,307.2,1416,42.6,154,0,0,0,0,0,0
2079,H02079,H,298.0,308.7,1341,37.3,46,1,0,1,0,0,0
2080,M02080,M,296.5,306.8,1471,36.7,59,0,0,0,0,0,0
2081,L02081,L,299.1,310.1,1385,37.2,161,0,0,0,0,0,0
2082,L02082,L,299.0,309.5,1512,42.3,60,0,0,0,0,0,0
2083,L02083,L,301.1,310.3,1455,40.1,103,0,0,0,0,0,0
2084,H02084,H,300.5,310.6,1427,39.5,61,0,0,0,0,0,0
2085,L02085,L,297.6,307.7,1578,35.0,250,1,1,0,0,0,0
2086,L02086,L,299.2,308.3,1516,31.8,20,0,0,0,0,0,0
2087,L02087,L,299.3,308.2,1511,48.1,80,0,0,0,0,0,0
2088,M02088,M,296.4,305.8,1526,38.3,71,0,0,0,0,0,0
2089,M02089,M,298.0,310.1,1604,52.5,212,1,1,0,1,0,0
2090,L02090,L,298.5,308.0,1710,41.8,153,0,0,0,0,0,0
2091,M02091,M,302.9,314.1,1478,49.4,167,0,0,0,0,0,0
2092,H02092,H,300.4,309.9,1632,43.6,10,0,0,0,0,0,0
2093,L02093,L,301.3,312.2,1638,39.4,250,1,1,0,0,0,0
2094,L02094,L,297.0,307.9,1427,37.7,52,0,0,0,0,0,0
2095,L02095,L,302.4,313.3,1424,35.9,173,0,0,0,0,0,0
2096,M02096,M,302.6,313.0,1442,46.2,88,0,0,0,0,0,0
2097,L02097,L,296.0,307.4,1694,39.4,64,0,0,0,0,0,0
2098,M02098,M,298.6,309.0,1450,43.6,14,0,0,0,0,0,0
2099,M02099,M,301.0,312.7,1311,46.0,163,1,0,1,0,0,0
2100,L02100,L,301.3,309.7,1527,41.5,174,0,0,0,0,0,0
2101,H02101,H,298.6,309.0,1252,40.1,98,1,0,1,0,0,0
2102,L02102,L,299.4,309.7,1445,45.6,188,0,0,0,0,0,0
2103,L02103,L,298.8,307.9,1491,39.1,25,0,0,0,0,0,0
2104,M02104,M,300.2,310.8,1515,40.3,56,0,0,0,0,0,0
2105,M02105,M,302.4,310.9,1602,42.6,118,0,0,0,0,0,0
2106,L02106,L,298.5,307.8,1619,38.5,38,0,0,0,0,0,0
2107,M02107,M,302.0,310.0,1382,32.1,79,0,0,0,0,0,0
2108,H02108,H,298.4,310.0,1413,46.1,35,0,0,0,0,0,0
2109,L02109,L,298.3,308.1,1558,45.7,250,1,1,0,0,0,0
2110,H02110,H,301.6,313.8,1424,31.6,87,0,0,0,0,0,0
2111,L02111,L,301.8,312.6,1523,34.6,101,0,0,0,0,0,0
2112,L02112,L,301.7,312.2,1378,51.3,105,1,0,1,0,0,0
2113,L02113,L,297.4,306.8,1435,41.8,139,0,0,0,0,0,0
2114,M02114,M,299.1,308.0,1460,40.4,203,1,1,0,0,0,0
2115,M02115,M,301.6,312.2,1191,41.0,47,1,0,1,0,0,0
2116,L02116,L,300.1,310.0,1614,33.7,63,0,0,0,0,0,0
2117,L02117,L,297.9,306.5,1413,39.9,104,0,0,0,0,0,0
2118,M02118,M,300.9,309.4,1569,44.2,99,0,0,0,0,0,0
2119,L02119,L,298.6,307.6,1610,38.8,16,0,0,0,0,0,0
2120,M02120,M,303.6,315.4,1446,43.6,6,0,0,0,0,0,0
2121,M02121,M,303.1,315.3,1600,47.8,192,1,0,0,1,0,0
2122,L02122,L,301.2,311.4,1624,35.9,197,0,0,0,0,0,0
2123,H02123,H,302.7,312.9,1419,42.3,12,0,0,0,0,0,0
2124,L02124,L,300.1,309.8,1508,44.9,140,0,0,0,0,0,0
2125,H02125,H,301.5,310.6,1560,34.7,23,0,0,0,0,0,0
2126,M02126,M,303.0,314.3,1523,40.7,79,0,0,0,0,0,0
2127,M02127,M,300.5,312.4,1604,48.3,62,1,0,0,1,0,0
2128,L02128,L,299.5,308.6,1311,40.2,36,1,0,1,0,0,0
2129,M02129,M,296.6,306.5,1510,45.2,125,0,0,0,0,0,0
2130,L02130,L,299.8,309.4,1392,40.4,145,0,0,0,0,0,0
2131,L02131,L,301.6,311.2,1547,48.5,250,1,1,0,0,0,0
2132,L02132,L,301.9,313.1,1621,30.6,65,0,0,0,0,0,0
2133,L02133,L,301.0,309.7,1724,38.1,250,1,1,0,0,0,0
2134,L02134,L,298.9,309.4,1456,33.0,250,1,1,0,0,0,0
2135,M02135,M,296.0,306.8,1447,37.0,49,0,0,0,0,0,0
2136,M02136,M,299.0,308.9,1490,36.6,83,0,0,0,0,0,0
2137,L02137,L,299.4,310.3,1453,39.1,250,1,1,0,0,0,0
2138,M02138,M,299.4,309.5,1598,33.1,50,0,0,0,0,0,0
2139,L02139,L,301.2,312.5,1543,39.2,96,0,0,0,0,0,0
2140,M02140,M,304.0,312.4,1512,42.2,241,1,1,0,0,0,0
2141,M02141,M,300.2,309.9,1562,31.7,94,0,0,0,0,0,0
2142,L02142,L,299.6,309.5,1543,36.4,126,0,0,0,0,0,0
2143,M02143,M,299.5,306.8,1418,53.5,86,0,0,0,0,0,0
2144,L02144,L,300.2,309.2,1544,41.2,123,0,0,0,0,0,0
2145,L02145,L,298.3,307.5,1464,31.3,47,0,0,0,0,0,0
2146,M02146,M,300.2,311.2,1511,32.9,79,0,0,0,0,0,0
2147,L02147,L,300.9,310.2,1650,39.6,250,1,1,0,0,0,0
2148,L02148,L,300.4,309.6,1433,41.2,79,0,0,0,0,0,0
2149,L02149,L,300.9,311.7,1397,38.1,250,1,1,0,0,0,0
2150,M02150,M,300.9,309.2,1505,50.9,105,1,0,0,1,0,0
2151,L02151,L,296.5,304.4,1473,53.4,68,1,0,0,1,0,0
2152,L02152,L,301.3,310.9,1553,38.1,81,0,0,0,0,0,0
2153,M02153,M,298.7,307.2,1532,44.0,230,1,1,0,0,0,0
2154,M02154,M,297.8,306.4,1286,46.8,88,0,0,0,0,0,0
2155,L02155,L,297.8,308.4,1619,44.1,104,0,0,0,0,0,0
2156,L02156,L,300.9,311.7,1433,37.5,233,1,1,0,0,0,0
2157,L02157,L,299.6,310.3,1548,49.2,5,0,0,0,0,0,0
2158,L02158,L,296.6,307.7,1484,39.8,246,1,1,0,0,0,0
2159,L02159,L,301.0,312.2,1495,42.2,249,1,1,0,0,0,0
2160,M02160,M,297.1,305.0,1669,38.3,86,0,0,0,0,0,0
2161,M02161,M,300.3,310.7,1532,39.0,98,0,0,0,0,0,0
2162,M02162,M,300.5,309.9,1590,40.5,50,0,0,0,0,0,0
2163,L02163,L,301.8,311.0,1565,33.4,86,0,0,0,0,0,0
2164,M02164,M,303.6,314.1,1562,29.5,129,0,0,0,0,0,0
2165,L02165,L,297.3,305.5,1592,38.0,96,0,0,0,0,0,0
2166,H02166,H,299.9,308.1,1475,35.8,73,0,0,0,0,0,0
2167,M02167,M,299.4,310.1,1611,41.6,70,0,0,0,0,0,0
2168,L02168,L,300.9,311.4,1566,41.5,208,1,1,0,0,0,0
2169,M02169,M,300.4,310.6,1729,37.8,24,0,0,0,0,0,0
2170,L02170,L,299.3,308.4,1646,45.9,247,1,1,0,0,0,0
2171,M02171,M,299.1,309.9,1386,41.1,88,0,0,0,0,0,0
2172,L02172,L,297.8,308.4,1532,32.4,242,1,1,0,0,0,0
2173,L02173,L,302.0,312.1,1590,38.0,45,0,0,0,0,0,0
2174,M02174,M,300.9,309.7,1504,45.8,175,0,0,0,0,0,0
2175,L02175,L,301.8,311.4,1619,29.4,48,0,0,0,0,0,0
2176,M02176,M,299.4,310.2,1580,38.7,142,0,0,0,0,0,0
2177,L02177,L,298.7,310.0,1414,43.7,173,0,0,0,0,0,0
2178,M02178,M,297.8,307.5,1628,52.0,46,1,0,0,1,0,0
2179,M02179,M,300.7,310.5,1450,46.5,159,0,0,0,0,0,0
2180,L02180,L,297.9,307.8,1490,40.8,70,0,0,0,0,0,0
2181,L02181,L,303.7,314.0,1490,42.7,104,0,0,0,0,0,0
2182,L02182,L,297.4,306.8,1631,29.2,60,0,0,0,0,0,0
2183,L02183,L,300.5,307.7,1523,34.5,93,0,0,0,0,0,0
2184,L02184,L,303.1,314.3,1484,43.4,136,0,0,0,0,0,0
2185,M02185,M,301.2,313.0,1458,41.2,45,0,0,0,0,0,0
2186,H02186,H,300.4,309.7,1271,43.7,58,1,0,1,0,0,0
2187,M02187,M,298.1,307.0,1416,41.0,149,0,0,0,0,0,0
2188,M02188,M,297.2,307.1,1376,41.2,27,1,0,1,0,0,0
2189,M02189,M,301.5,311.4,1473,40.8,43,0,0,0,0,0,0
2190,M02190,M,303.0,314.0,1566,34.1,104,0,0,0,0,0,0
2191,L02191,L,299.1,309.2,1605,37.8,32,0,0,0,0,0,0
2192,H02192,H,297.7,306.9,1576,33.0,109,0,0,0,0,0,0
2193,M02193,M,295.1,303.8,1603,35.9,233,1,1,0,0,0,0
2194,L02194,L,298.0,308.9,1497,46.0,118,0,0,0,0,0,0
2195,L02195,L,299.8,310.4,1552,38.6,89,0,0,0,0,0,0
2196,L02196,L,303.2,314.3,1547,42.5,123,0,0,0,0,0,0
2197,L02197,L,301.3,310.4,1335,42.2,103,1,0,1,0,0,0
2198,M02198,M,300.6,312.4,1378,39.3,181,1,0,1,0,0,0
2199,L02199,L,299.2,307.5,1533,34.6,109,0,0,0,0,0,0
2200,L02200,L,298.8,309.5,1533,37.7,215,1,1,0,0,0,0
2201,H02201,H,302.8,310.9,1501,40.9,58,0,0,0,0,0,0
2202,L02202,L,300.4,309.6,1596,41.9,56,0,0,0,0,0,0
2203,L02203,L,295.8,307.4,1373,41.9,250,1,1,1,0,0,0
2204,L02204,L,298.7,309.5,1602,42.2,243,1,1,0,0,0,0
2205,M02205,M,298.3,307.7,1518,32.2,42,0,0,0,0,0,0
2206,H02206,H,298.9,308.4,1512,44.2,48,0,0,0,0,0,0
2207,L02207,L,301.1,311.2,1657,32.8,205,1,1,0,0,0,0
2208,M02208,M,299.8,310.3,1486,45.1,75,0,0,0,0,0,0
2209,L02209,L,299.8,311.1,1675,40.8,239,1,1,0,0,0,0
2210,H02210,H,302.6,312.2,1361,32.0,45,1,0,1,0,0,0
2211,M02211,M,298.6,307.0,1405,44.6,42,0,0,0,0,0,0
2212,M02212,M,303.7,313.9,1543,44.5,183,0,0,0,0,0,0
2213,L02213,L,298.7,308.2,1513,46.2,29,0,0,0,0,0,0
2214,H02214,H,300.2,308.9,1476,36.4,106,0,0,0,0,0,0
2215,M02215,M,299.4,309.7,1699,38.9,39,0,0,0,0,0,0
2216,L02216,L,300.2,310.0,1589,42.6,173,0,0,0,0,0,0
2217,M02217,M,300.9,311.2,1521,43.5,250,1,1,0,0,0,0
2218,L02218,L,300.9,310.0,1463,42.4,15,0,0,0,0,0,0
2219,M02219,M,298.5,309.0,1330,39.6,45,1,0,1,0,0,0
2220,L02220,L,297.8,306.4,1543,44.5,191,0,0,0,0,0,0
2221,M02221,M,305.0,314.2,1607,43.9,45,0,0,0,0,0,0
2222,L02222,L,299.0,308.8,1518,39.1,220,1,1,0,0,0,0
2223,L02223,L,301.4,313.1,1590,35.2,250,1,1,0,0,0,0
2224,L02224,L,296.8,307.6,1693,34.4,62,0,0,0,0,0,0
2225,L02225,L,299.4,310.5,1690,44.9,250,1,1,0,0,0,0
2226,L02226,L,299.7,311.2,1593,43.8,250,1,1,0,0,0,0
2227,L02227,L,300.9,314.5,1567,39.2,52,0,0,0,0,0,0
2228,L02228,L,294.6,304.6,1398,40.0,102,0,0,0,0,0,0
2229,L02229,L,300.3,311.8,1487,31.3,128,0,0,0,0,0,0
2230,L02230,L,297.7,308.7,1522,39.4,116,0,0,0,0,0,0
2231,M02231,M,300.6,311.6,1415,34.9,46,0,0,0,0,0,0
2232,L02232,L,297.9,309.7,1575,40.0,58,0,0,0,0,0,0
2233,H02233,H,298.3,307.9,1641,44.5,60,0,0,0,0,0,0
2234,M02234,M,299.5,309.0,1652,33.6,165,0,0,0,0,0,0
2235,M02235,M,297.9,308.2,1524,40.9,65,0,0,0,0,0,0
2236,L02236,L,299.0,308.9,1628,43.7,210,1,1,0,0,0,0
2237,M02237,M,297.6,307.9,1427,41.8,146,0,0,0,0,0,0
2238,L02238,L,296.3,307.9,1696,35.4,77,0,0,0,0,0,0
2239,L02239,L,302.0,311.6,1394,41.1,61,0,0,0,0,0,0
2240,L02240,L,297.4,307.1,1641,43.4,33,0,0,0,0,0,0
2241,M02241,M,299.6,309.8,1550,40.8,100,0,0,0,0,0,0
2242,L02242,L,301.5,311.3,1474,40.2,250,1,1,0,0,0,0
2243,L02243,L,298.8,306.9,1529,45.5,184,0,0,0,0,0,0
2244,H02244,H,298.3,307.8,1337,44.2,123,1,0,1,0,0,0
2245,M02245,M,300.5,311.1,1391,35.1,74,0,0,0,0,0,0
2246,L02246,L,302.2,313.7,1391,44.2,23,0,0,0,0,0,0
2247,L02247,L,297.7,306.5,1627,43.5,48,0,0,0,0,0,0
2248,M02248,M,299.7,308.5,1621,32.6,28,0,0,0,0,0,0
2249,L02249,L,296.5,306.6,1334,30.3,202,1,1,1,0,0,0
2250,L02250,L,299.2,307.1,1734,32.5,151,0,0,0,0,0,0
2251,L02251,L,300.1,309.6,1549,39.0,79,0,0,0,0,0,0
2252,H02252,H,298.3,306.6,1479,45.3,16,0,0,0,0,0,0
2253,M02253,M,299.1,310.5,1353,37.0,56,1,0,1,0,0,0
2254,M02254,M,297.2,306.4,1632,41.5,111,0,0,0,0,0,0
2255,M02255,M,300.2,311.8,1520,25.3,61,0,0,0,0,0,0
2256,L02256,L,302.1,313.2,1664,39.3,92,0,0,0,0,0,0
2257,L02257,L,297.8,307.2,1672,36.2,157,0,0,0,0,0,0
2258,L02258,L,298.8,307.7,1683,48.7,93,1,0,0,1,0,0
2259,L02259,L,301.0,310.8,1485,30.7,250,1,1,0,0,0,0
2260,L02260,L,302.4,312.3,1529,39.6,249,1,1,0,0,0,0
2261,M02261,M,297.0,307.4,1439,31.1,29,0,0,0,0,0,0
2262,M02262,M,299.7,308.9,1590,36.4,202,1,1,0,0,0,0
2263,M02263,M,300.6,311.3,1533,31.2,72,0,0,0,0,0,0
2264,L02264,L,299.8,310.1,1657,49.9,185,1,0,0,1,0,0
2265,M02265,M,295.0,304.7,1611,37.1,234,1,1,0,0,0,0
2266,M02266,M,301.0,310.3,1327,40.7,8,1,0,1,0,0,0
